Product_Name,Category,bs_year,bs_month,month_idx,month_name,Volume,Min_Price,Max_Price,Avg_Price,Unit,unit_canonical,unit_changed,Total_Amount,Volume_Equals,TOTAL_sources,reconciliation_gap,import_share,n_months_present,is_balanced,Baglung,Bara,Beni,Bhutan,Birgunj,China,Dang,Dhading,Gorkha,Hetauda,India,Jhapa,Kathmandu,Kevray,Lahan,Lamjung,Local,Marpha,Mugu,Mustang,Myagdi,Naew,Narayangadh,Nawalparasi,Nuwakot,Palpa,Parbat,Rolpa,Rukum,Rupandehi,Salyan,Sarlahi,Sindhuli,Sunsari,Syangja,Tanahu
Akabary_Chilly,Vegetable,2082,9,6,poush,880,400,600,500,kg,kg,FALSE,440000,TRUE,880,0,0,5,FALSE,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0
Akabary_Chilly,Vegetable,2082,10,7,magh,540,300,900,628.57,kg,kg,FALSE,339427.8,TRUE,540,0,0,5,FALSE,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akabary_Chilly,Vegetable,2082,11,8,falgun,0,300,800,555.56,kg,kg,FALSE,0,TRUE,0,0,,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akabary_Chilly,Vegetable,2082,12,9,chaitra,5920,300,500,439.77,kg,kg,FALSE,2603438.4,TRUE,5920,0,0.888513514,5,FALSE,0,0,0,0,0,0,0,0,0,0,5260,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0
Akabary_Chilly,Vegetable,2083,1,10,baishakh,13770,400,500,450,kg,kg,FALSE,6196500,TRUE,13770,0,0.288307916,5,FALSE,0,0,0,0,0,0,0,0,0,0,3970,0,0,0,0,1230,0,0,0,0,0,0,8570,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,5,2,bhadra,7190,0,0,120,kg,kg,FALSE,862800,TRUE,7190,0,1,9,FALSE,0,0,0,0,0,0,0,0,0,0,7190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,6,3,ashwin,21565,100,120,111.25,kg,kg,FALSE,2399106.25,TRUE,21565,0,0.87108741,9,FALSE,0,0,0,0,0,0,0,2780,0,0,18785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,7,4,kartik,20415,100,120,110,kg,kg,FALSE,2245650,TRUE,20415,0,0.84325251,9,FALSE,0,0,0,0,0,0,0,2510,510,0,17215,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,8,5,mangsir,24940,100,120,110,kg,kg,FALSE,2743400,TRUE,24940,0,0.908580593,9,FALSE,0,0,0,0,0,0,0,1380,900,0,22660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,9,6,poush,29125,80,100,90,kg,kg,FALSE,2621250,TRUE,29125,0,0.984892704,9,FALSE,0,0,0,0,0,0,0,0,440,0,28685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,10,7,magh,15550,80,150,93.14,kg,kg,FALSE,1448327,TRUE,15550,0,0.986495177,9,FALSE,0,0,0,0,0,0,0,0,210,0,15340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,11,8,falgun,12730,80,150,96.11,kg,kg,FALSE,1223480.3,TRUE,12730,0,1,9,FALSE,0,0,0,0,0,0,0,0,0,0,12730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2082,12,9,chaitra,5010,80,150,135,kg,kg,FALSE,676350,TRUE,5010,0,1,9,FALSE,0,0,0,0,0,0,0,0,0,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amala,Fruit,2083,1,10,baishakh,0,140,150,145,kg,kg,FALSE,0,TRUE,0,0,,9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,Fruit,2082,4,1,shrawan,679675,130,330,192.4,kg,kg,FALSE,130769470,TRUE,679675,0,0.974723213,10,TRUE,0,0,0,0,0,303995,0,0,0,0,358500,0,0,0,0,0,0,0,17180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,Fruit,2082,5,2,bhadra,559832,130,330,289.86,kg,kg,FALSE,162272903.5,FALSE,531622,28210,0.906362039,10,TRUE,0,0,0,0,0,166030,0,0,0,0,315812,0,0,0,0,0,0,0,16180,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,Fruit,2082,6,3,ashwin,681942,130,330,237.81,kg,kg,FALSE,161492490.4,FALSE,679082,2860,0.32190516,10,TRUE,0,0,0,0,0,168330,0,0,0,0,50270,0,0,0,0,0,0,0,0,460482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
