product_name,status,baseline_month,coverage,confidence,baseline_price,model_baseline_price,predicted_price,price_delta_pct,predicted_volume,baseline_risk,baseline_risk_score,risk_score,risk
Akabary_Chilly,no_applicable_shock,month 10,china: never sourced (5 months present),,,,,,,,,,
Amala,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Apple,ok,month 10,china: sourced in 10/10 months,china: reliable,266.3,254.20447482992523,256.94455786345054,1.0779051137312035,0.0,Medium,0.5806143981242227,0.10748586485793793,Low
Apple_Fuji,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Arum,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Avocado,ok,month 10,china: sourced in 7/10 months,china: reliable,757.61,392.0405218434537,392.0405218434537,0.0,5250.0,Medium,0.5424266631239841,0.5424266631239841,Medium
Bakula,no_applicable_shock,month 10,china: never sourced (4 months present),,,,,,,,,,
Bambooshoot,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Banana,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Banana_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Barela,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Bayar,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Beat_Chukunder,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Bitter_Gourd,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Bottle_Gourd,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Brinjal_Gland,no_applicable_shock,"month 7 (fallback, no month-10 data)",china: never sourced (4 months present),,,,,,,,,,
Brinjal_Long,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Broad_Leaf_Mustard,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Broccoli,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Cabbage,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Cabbage_Red,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Carrot,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Cauliflower_Hill,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Chilly_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Christophine,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Coconut,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Coriander_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Cow_Pea,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Cress_Leaf,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Cucumber,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Dragon_Fruits,ok,month 10,china: sourced in 10/10 months,china: reliable,325.0,325.9693436735434,324.5518058698374,-0.43486844122546664,16070.0,Medium,0.37572463963608926,0.41982353915520326,Medium
Fenugreek_Leaf,no_applicable_shock,month 10,china: never sourced (8 months present),,,,,,,,,,
French_Bean,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Garlic_Dry,no_applicable_shock,month 10,china: never sourced (8 months present),,,,,,,,,,
Garlic_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Ginger,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Grapes,ok,month 10,china: sourced in 8/10 months,china: reliable,450.0,253.40370640597308,251.1484328553145,-0.8899923298854473,218780.0,Medium,0.4362254319342762,0.5708408164046904,Medium
Green_Peas,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Green_Ve,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Guava,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Gundruk,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Haluwabed,ok,month 10,china: sourced in 6/8 months,china: reliable,300.0,295.1520364365612,295.0381822037537,-0.038574774608401974,14810.0,Medium,0.3994574879946361,0.5340728724650503,Medium
Jack_Fruit,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Khasa_Garlic_Dry,ok,month 10,china: sourced in 10/10 months,china: reliable,233.7,252.17439951536488,254.58593070912272,0.9562950078962684,0.0,Medium,0.5593163001096358,0.07908840083848889,Low
Kiwi,ok,month 10,china: sourced in 10/10 months,china: reliable,350.0,327.4998558765411,330.6379077970704,0.9581842141977104,0.0,Medium,0.5422708348897244,0.05636111387860689,Low
Kurilo,no_applicable_shock,"month 9 (fallback, no month-10 data)",china: never sourced (8 months present),,,,,,,,,,
Lemon,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Malta,ok,month 10,china: sourced in 7/10 months,china: reliable,240.0,240.4187878094331,238.46589847167502,-0.8122864920631856,34710.0,Medium,0.4266340845377799,0.5612494690081941,Medium
Mango,ok,month 10,china: sourced in 5/10 months,china: reliable,198.26,315.16637112033516,315.16637112033516,0.0,123330.0,High,0.7277836903883336,0.7277836903883336,High
Mango_Green,no_applicable_shock,month 10,china: never sourced (1 months present),,,,,,,,,,
Mombin,no_applicable_shock,"month 7 (fallback, no month-10 data)",china: never sourced (6 months present),,,,,,,,,,
Mushroom,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Okara,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Onion_Dry,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Onion_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Orange,ok,month 10,china: sourced in 6/10 months,china: reliable,209.57,176.0853997536666,167.09987132404788,-5.102937803014306,71710.0,Medium,0.49366268774940636,0.6282780722198207,Medium
Orange_Sweet,ok,month 10,china: sourced in 2/10 months,china: low-confidence,110.0,110.09169199425524,110.09169199425524,0.0,0.0,Low,0.18664514022994239,0.18664514022994239,Low
Papaya,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Peanuts,no_applicable_shock,"month 7 (fallback, no month-10 data)",china: never sourced (2 months present),,,,,,,,,,
Pear,ok,month 10,china: sourced in 9/9 months,china: reliable,205.0,204.96766637002366,198.84949331428007,-2.9849454619337856,2450.0,Medium,0.4758003274382747,0.6104157119086889,Medium
Pear_China,ok,"month 5 (fallback, no month-10 data)",china: sourced in 1/3 months,china: single-observation,205.0,205.31805435875702,214.03397161919352,4.245080778530541,0.0,Medium,0.6520942120815025,0.2027922834676444,Low
Pine_Apple,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Pointed_Gourd,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Pomegranate,ok,month 10,china: sourced in 1/10 months,china: single-observation,325.0,323.29328479566806,323.29328479566806,0.0,126440.0,Medium,0.5182904485671304,0.5182904485671304,Medium
Potato,no_applicable_shock,"month 6 (fallback, no month-10 data)",china: never sourced (1 months present),,,,,,,,,,
Potato_Blue,no_applicable_shock,"month 9 (fallback, no month-10 data)",china: never sourced (6 months present),,,,,,,,,,
Potato_R,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
Potato_W,no_applicable_shock,"month 9 (fallback, no month-10 data)",china: never sourced (7 months present),,,,,,,,,,
Pumpkin,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Pumpkin_Green,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Pumpkin_Leaf,no_applicable_shock,month 10,china: never sourced (7 months present),,,,,,,,,,
Radish_Red,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Radish_White,no_applicable_shock,month 10,china: never sourced (10 months present),,,,,,,,,,
Rajma,no_applicable_shock,month 10,china: never sourced (9 months present),,,,,,,,,,
