product_name,status,baseline_month,coverage,confidence,baseline_price,model_baseline_price,predicted_price,price_delta_pct,predicted_volume,baseline_risk,baseline_risk_score,risk_score,risk
Akabary_Chilly,ok,month 10,india: sourced in 2/5 months,india: low-confidence,450.0,432.3138823314541,432.3138823314541,0.0,13030.5,Low,0.2789509412593284,0.2688535486847917,Low
Amala,ok,month 10,india: sourced in 8/9 months,india: reliable,145.0,142.13627157310393,127.833366281747,-10.062811647624093,11166.3125,Low,0.06328431841000266,0.5474632382882713,Medium
Apple,ok,month 10,india: sourced in 6/10 months,india: reliable,266.3,254.20447482992523,255.38683981927568,0.46512359396564396,413769.31666666665,Medium,0.5806143981242227,0.44599901365380845,Medium
Apple_Fuji,no_applicable_shock,month 10,india: never sourced (7 months present),,,,,,,,,,
Arum,ok,month 10,india: sourced in 5/10 months,india: reliable,65.0,66.93726179632115,71.79911069405824,7.263292174291314,4483.5599999999995,Low,0.31276299418910714,0.4204771098130721,Medium
Avocado,ok,month 10,india: sourced in 9/10 months,india: reliable,757.61,392.0405218434537,392.0405218434537,0.0,3521.0,Medium,0.5424266631239841,0.5424266631239841,Medium
Bakula,no_applicable_shock,month 10,india: never sourced (4 months present),,,,,,,,,,
Bambooshoot,no_applicable_shock,month 10,india: never sourced (7 months present),,,,,,,,,,
Banana,no_applicable_shock,month 10,india: never sourced (7 months present),,,,,,,,,,
Banana_Green,ok,month 10,india: sourced in 10/10 months,india: reliable,175.15,186.42151440392954,189.61025601437737,1.7105008617935624,293080.5,Low,0.1476481605405991,0.2113512288112243,Low
Barela,ok,month 10,india: sourced in 1/9 months,india: single-observation,100.0,95.8730202239001,95.93541778536677,0.06508354625831547,34323.0,Low,0.1591954393684317,0.13951279778822298,Low
Bayar,ok,month 10,india: sourced in 5/7 months,india: reliable,110.0,109.39514786306208,108.47945927306402,-0.8370468049865298,15018.499999999998,Low,0.14185912931789516,0.6063943464691907,Medium
Beat_Chukunder,ok,month 10,india: sourced in 10/10 months,india: reliable,100.0,97.14465897528123,98.75652047502808,1.6592384149055395,38352.17,Low,0.24859671801068545,0.2206488110853753,Low
Bitter_Gourd,ok,month 10,india: sourced in 7/10 months,india: reliable,65.0,102.99274413067462,105.09278882637203,2.0390219849205415,202892.8,Low,0.239927169887926,0.261278730667059,Low
Bottle_Gourd,ok,month 10,india: sourced in 10/10 months,india: reliable,62.17,87.53969779089199,87.56192469495797,0.025390656612800377,168752.81,Low,0.19996609962567582,0.1727599077507062,Low
Brinjal_Gland,no_applicable_shock,"month 7 (fallback, no month-10 data)",india: never sourced (4 months present),,,,,,,,,,
Brinjal_Long,ok,month 10,india: sourced in 9/10 months,india: reliable,81.3,84.71740773017312,84.42931589936612,-0.3400621413305993,139110.6888888889,Low,0.14010588116852027,0.12469740475715928,Low
Broad_Leaf_Mustard,no_applicable_shock,month 10,india: never sourced (10 months present),,,,,,,,,,
Broccoli,ok,month 10,india: sourced in 1/9 months,india: single-observation,78.26,94.78854681140469,95.04924164032525,0.27502777254224675,34800.0,Low,0.23436588937780128,0.2296364529019962,Low
Cabbage,ok,month 10,india: sourced in 4/10 months,india: reliable,37.39,43.051040909723845,45.86274056974959,6.5310840356259,228483.5,Low,0.14029702934064459,0.14836821194068198,Low
Cabbage_Red,no_applicable_shock,month 10,india: never sourced (10 months present),,,,,,,,,,
Carrot,ok,month 10,india: sourced in 6/10 months,india: reliable,46.74,43.81002256506968,43.99859438074889,0.4304307659260598,139996.0833333333,Low,0.17156580670610075,0.19852608282839654,Low
Cauliflower_Hill,ok,month 10,india: sourced in 2/10 months,india: low-confidence,67.39,67.68784151790761,67.63775298881555,-0.073999300271399,260985.5,Low,0.17035886318861648,0.16241658705552414,Low
Chilly_Green,ok,month 10,india: sourced in 8/10 months,india: reliable,130.22,129.1952093414153,130.17907456412624,0.7615338275515526,147892.55,Low,0.23163998073280742,0.20316848687742464,Low
Christophine,ok,month 10,india: sourced in 5/10 months,india: reliable,65.0,64.64997049887234,65.74288374437303,1.69050849840644,13049.0,Medium,0.3724595787980324,0.3540981192506696,Medium
Coconut,ok,month 10,india: sourced in 10/10 months,india: reliable,155.0,158.15157388923697,157.68356625157767,-0.2959234778068476,64312.85,Medium,0.5152863628997545,0.5152863628997545,Medium
Coriander_Green,no_applicable_shock,month 10,india: never sourced (10 months present),,,,,,,,,,
Cow_Pea,ok,month 10,india: sourced in 9/10 months,india: reliable,91.3,118.55866320588353,118.25324709338344,-0.2576075878737982,138893.26666666666,Low,0.2278485186635147,0.19208710026008302,Low
